,zipcode,average income
0,10001,102878.03360298694
1,10002,59604.04116465864
2,10003,114273.04964539009
3,10004,132004.3103448276
4,10005,121437.7133105802
5,10006,126377.1186440678
6,10007,138853.90428211587
7,10009,77133.23353293413
8,10010,116272.69881026926
9,10011,120420.79207920792
10,10012,111131.78633975482
11,10013,106023.04469273744
12,10014,124233.12883435584
13,10016,109298.7308818744
14,10017,118061.72291296624
15,10018,108746.18902439025
16,10019,107014.96779082986
17,10021,124193.91462306994
18,10022,124320.79414838034
19,10023,121776.25639482395
20,10024,118313.14878892733
21,10025,93258.39398919934
22,10026,65380.718008106545
23,10027,61675.983037779486
24,10028,117822.24532224532
25,10029,48339.6723229959
26,10030,48373.42271293375
27,10031,48674.798239178286
28,10032,46467.4900108972
29,10033,52235.16527279968
30,10034,50708.04658549497
31,10035,50944.669365721995
32,10036,94940.64443188242
33,10037,57120.58212058212
34,10038,95681.62574089757
35,10039,47026.16970658208
36,10040,50772.05882352941
37,10044,86945.03171247357
38,10065,120720.64643799471
39,10069,133653.84615384616
40,10075,120113.13056379822
41,10128,111992.48721227625
42,10162,137335.52631578947
43,10280,134397.5903614458
44,10282,152181.6037735849
45,10301,66913.36230309615
46,10302,57217.51412429378
47,10303,52778.861154446175
48,10304,61216.41074856045
49,10305,64277.19465648855
50,10306,73657.31115731115
51,10307,86900.43604651163
52,10308,81452.4647887324
53,10309,85576.92307692306
54,10310,67453.42929720576
55,10312,83484.34925864909
56,10314,74144.03778040141
57,10451,40553.319919517104
58,10452,35306.24661979448
59,10453,34474.69021882415
60,10454,35661.76470588235
61,10455,35785.48644338118
62,10456,34503.467062902426
63,10457,34633.56973995271
64,10458,35868.3314415437
65,10459,36056.161891768985
66,10460,36095.55804404629
67,10461,57890.49919484702
68,10462,49331.55080213904
69,10463,65918.80341880342
70,10464,84418.6046511628
71,10465,67554.12890231621
72,10466,47724.43890274314
73,10467,42034.178610804855
74,10468,37413.79310344827
75,10469,53108.54753793744
76,10470,58968.83289124668
77,10471,91633.16582914571
78,10472,37918.66028708134
79,10473,46564.818085482155
80,10474,35229.54091816367
81,10475,56136.161705908475
82,11004,76746.32352941176
83,11005,121318.49315068494
84,11101,91603.38785046728
85,11102,67476.42744892614
86,11103,63495.96570852244
87,11104,66906.22861054073
88,11105,68860.90814196243
89,11106,66533.1940575673
90,11109,133892.85714285713
91,11201,117507.86388332857
92,11203,50698.51913942442
93,11204,51748.09830310123
94,11205,72222.22222222222
95,11206,51560.84305408271
96,11207,42837.47363487227
97,11208,40213.28593645857
98,11209,74627.30195849166
99,11210,61197.28128267689
100,11211,82047.45443117537
101,11212,39632.59000537345
102,11213,49651.68930686173
103,11214,51150.96359743041
104,11215,107133.58778625954
105,11216,65817.74081774082
106,11217,102531.34040501446
107,11218,65583.38377723971
108,11219,44299.33061699651
109,11220,37017.22832260508
110,11221,53503.67197062424
111,11222,89192.82029234737
112,11223,55444.328669246795
113,11224,50012.23091976516
114,11225,59241.72637325145
115,11226,51581.9099378882
116,11228,60916.66666666667
117,11229,63066.07521186441
118,11230,61947.777474775015
119,11231,99623.89380530972
120,11232,52851.94174757282
121,11233,50900.47393364929
122,11234,69030.64861012118
123,11235,60106.056890632666
124,11236,53505.434782608696
125,11237,49178.7542662116
126,11238,91554.80984340044
127,11239,46691.17647058824
128,11354,45820.251177394035
129,11355,36375.873795579064
130,11356,47101.851851851854
131,11357,74928.46924177397
132,11358,59587.37864077671
133,11360,88817.0731707317
134,11361,69375.86926286509
135,11362,80604.3956043956
136,11363,89290.83094555873
137,11364,71153.84615384616
138,11365,59569.00401965163
139,11366,69285.71428571429
140,11367,58402.06185567011
141,11368,37360.08394963022
142,11369,45303.27428878153
143,11370,52810.492505353315
144,11372,55456.262714327226
145,11373,43863.54943583859
146,11374,68042.50320375909
147,11375,89112.78837937908
148,11377,52190.35698737484
149,11378,60131.43483023002
150,11379,72842.22100054976
151,11385,56635.8024691358
152,11411,61994.70644850818
153,11412,53815.85743801653
154,11413,58580.26131591227
155,11414,76196.70905011219
156,11415,71841.82590233546
157,11416,44281.6091954023
158,11417,53020.833333333336
159,11418,50623.98263700488
160,11419,43174.27790788446
161,11420,50056.352459016394
162,11421,48021.92564346997
163,11422,58648.52398523985
164,11423,54796.32063074902
165,11426,70276.31578947368
166,11427,65363.48267117498
167,11428,56970.91273821464
168,11429,52782.012195121955
169,11432,53037.4246186591
170,11433,44920.749279538904
171,11434,52329.7354819094
172,11435,51125.46125461255
173,11436,49839.10891089109
174,11691,47078.33904109589
175,11692,50110.01100110011
176,11693,61620.92624356775
177,11694,84441.93912063134
178,11697,100870.90163934426
