,facility_id,program_type,facility_status,facility_name,city,zipcode,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,total_capacity,latitude,longitude
0,51349,FDC,Registration,"Valerio, Gladys",Bronx,10474,Bronx 8,0,0,0,0,6,6,40.818399,-73.888816
1,73544,SACC,Registration,YMCA OF GREATER NY,New York,10017,Manhattan 2,0,0,0,60,0,60,40.753216,-73.970794
2,108407,GFDC,License,"Almond Tree Group Family Day Care, LLC",Brooklyn,11225,Brooklyn 17,0,0,0,4,12,16,,
3,111953,GFDC,License,"Williams, Petal",Brooklyn,11226,Brooklyn 22,0,0,0,4,12,16,,
4,126425,GFDC,License,"Hernandez, Lidia",Bronx,10465,Bronx 8,0,0,0,0,12,12,40.841228,-73.823572
5,234238,GFDC,License,"Navedo, Edith",Bronx,10469,Bronx 11,0,0,0,4,12,16,40.865752,-73.847882
6,250057,SACC,Registration,KIPS BAY BOYS & GIRLS CLUB,BRONX,10473,Bronx 8,0,0,0,240,0,240,40.819564,-73.848827
7,269090,SACC,Registration,Precious Moments After School #2,Maspeth,11378,Queens 24,0,0,0,15,0,15,40.721854,-73.903974
8,274852,GFDC,License,"Fernandez, Luz",Bronx,10460,Bronx 11,0,0,0,0,12,12,40.839556,-73.868169
9,333723,GFDC,License,"Bahar, Yaffa",Flushing,11367,Queens 25,0,0,0,4,12,16,,
10,340346,GFDC,License,"Dundas, Deon",Rosedale,11422,Queens 29,0,0,0,4,12,16,,
11,349917,GFDC,License,"Seda, Lucy",BRONX,10452,Bronx 9,0,0,0,0,10,10,40.830097,-73.921286
12,386539,GFDC,License,"Rapalo, Edith",Bronx,10451,Bronx 9,0,0,0,0,12,12,40.82677,-73.925507
13,436883,GFDC,License,"De La Cruz Diaz, Jose",BRONX,10452,Bronx 9,0,0,0,4,12,16,,
14,500895,GFDC,License,Princess Play Pen,Bronx,10473,Bronx 8,0,0,0,4,12,16,40.820518,-73.854203
