,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Golden State Warriors,Houston Rockets,Los Angeles Lakers,Miami Heat,Milwaukee Bucks,New York Knicks,Philadelphia 76ers,Phoenix Suns,Toronto Raptors
Atlanta Hawks,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0
Boston Celtics,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1
Brooklyn Nets,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1
Chicago Bulls,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0
Cleveland Cavaliers,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
Dallas Mavericks,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0
Denver Nuggets,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1
Golden State Warriors,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1
Houston Rockets,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1
Los Angeles Lakers,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0
Miami Heat,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1
Milwaukee Bucks,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1
New York Knicks,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0
Philadelphia 76ers,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0
Phoenix Suns,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1
Toronto Raptors,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0
