,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Golden State Warriors,Houston Rockets,Los Angeles Lakers,Miami Heat,Milwaukee Bucks,New York Knicks,Philadelphia 76ers,Phoenix Suns,Toronto Raptors
Atlanta Hawks,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1
Boston Celtics,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0
Brooklyn Nets,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0
Chicago Bulls,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1
Cleveland Cavaliers,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1
Dallas Mavericks,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1
Denver Nuggets,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0
Golden State Warriors,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0
Houston Rockets,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1
Los Angeles Lakers,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1
Miami Heat,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0
Milwaukee Bucks,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0
New York Knicks,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1
Philadelphia 76ers,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1
Phoenix Suns,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0
Toronto Raptors,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0
