team_i,team_j,home_vs_j_count,away_at_j_count
Atlanta Hawks,Boston Celtics,1,0
Atlanta Hawks,Brooklyn Nets,0,1
Atlanta Hawks,Chicago Bulls,1,1
Atlanta Hawks,Cleveland Cavaliers,0,1
Atlanta Hawks,Dallas Mavericks,1,0
Atlanta Hawks,Denver Nuggets,0,1
Atlanta Hawks,Golden State Warriors,1,0
Atlanta Hawks,Houston Rockets,0,1
Atlanta Hawks,Los Angeles Lakers,1,0
Atlanta Hawks,Miami Heat,1,0
Atlanta Hawks,Milwaukee Bucks,1,0
Atlanta Hawks,New York Knicks,1,0
Atlanta Hawks,Philadelphia 76ers,0,1
Atlanta Hawks,Phoenix Suns,1,0
Atlanta Hawks,Toronto Raptors,1,0
Boston Celtics,Atlanta Hawks,0,1
Boston Celtics,Brooklyn Nets,0,1
Boston Celtics,Chicago Bulls,0,1
Boston Celtics,Cleveland Cavaliers,0,1
Boston Celtics,Dallas Mavericks,1,0
Boston Celtics,Denver Nuggets,0,1
Boston Celtics,Golden State Warriors,1,1
Boston Celtics,Houston Rockets,0,1
Boston Celtics,Los Angeles Lakers,0,1
Boston Celtics,Miami Heat,1,0
Boston Celtics,Milwaukee Bucks,1,0
Boston Celtics,New York Knicks,0,1
Boston Celtics,Philadelphia 76ers,1,0
Boston Celtics,Phoenix Suns,1,0
Boston Celtics,Toronto Raptors,0,1
Brooklyn Nets,Atlanta Hawks,1,0
Brooklyn Nets,Boston Celtics,1,0
Brooklyn Nets,Chicago Bulls,0,1
Brooklyn Nets,Cleveland Cavaliers,0,1
Brooklyn Nets,Dallas Mavericks,1,0
Brooklyn Nets,Denver Nuggets,1,1
Brooklyn Nets,Golden State Warriors,1,0
Brooklyn Nets,Houston Rockets,0,1
Brooklyn Nets,Los Angeles Lakers,0,1
Brooklyn Nets,Miami Heat,1,0
Brooklyn Nets,Milwaukee Bucks,0,1
Brooklyn Nets,New York Knicks,0,1
Brooklyn Nets,Philadelphia 76ers,1,0
Brooklyn Nets,Phoenix Suns,0,1
Brooklyn Nets,Toronto Raptors,0,1
Chicago Bulls,Atlanta Hawks,1,1
Chicago Bulls,Boston Celtics,1,0
Chicago Bulls,Brooklyn Nets,1,0
Chicago Bulls,Cleveland Cavaliers,0,1
Chicago Bulls,Dallas Mavericks,0,1
Chicago Bulls,Denver Nuggets,1,0
Chicago Bulls,Golden State Warriors,1,0
Chicago Bulls,Houston Rockets,1,0
Chicago Bulls,Los Angeles Lakers,1,0
Chicago Bulls,Miami Heat,0,1
Chicago Bulls,Milwaukee Bucks,1,0
Chicago Bulls,New York Knicks,0,1
Chicago Bulls,Philadelphia 76ers,0,1
Chicago Bulls,Phoenix Suns,0,1
Chicago Bulls,Toronto Raptors,1,0
Cleveland Cavaliers,Atlanta Hawks,1,0
Cleveland Cavaliers,Boston Celtics,1,0
Cleveland Cavaliers,Brooklyn Nets,1,0
Cleveland Cavaliers,Chicago Bulls,1,0
Cleveland Cavaliers,Dallas Mavericks,0,1
Cleveland Cavaliers,Denver Nuggets,1,0
Cleveland Cavaliers,Golden State Warriors,0,1
Cleveland Cavaliers,Houston Rockets,1,0
Cleveland Cavaliers,Los Angeles Lakers,0,1
Cleveland Cavaliers,Miami Heat,1,0
Cleveland Cavaliers,Milwaukee Bucks,1,1
Cleveland Cavaliers,New York Knicks,1,0
Cleveland Cavaliers,Philadelphia 76ers,0,1
Cleveland Cavaliers,Phoenix Suns,0,1
Cleveland Cavaliers,Toronto Raptors,1,0
Dallas Mavericks,Atlanta Hawks,0,1
Dallas Mavericks,Boston Celtics,0,1
Dallas Mavericks,Brooklyn Nets,0,1
Dallas Mavericks,Chicago Bulls,1,0
Dallas Mavericks,Cleveland Cavaliers,1,0
Dallas Mavericks,Denver Nuggets,1,0
Dallas Mavericks,Golden State Warriors,1,0
Dallas Mavericks,Houston Rockets,1,0
Dallas Mavericks,Los Angeles Lakers,1,0
Dallas Mavericks,Miami Heat,1,1
Dallas Mavericks,Milwaukee Bucks,0,1
Dallas Mavericks,New York Knicks,0,1
Dallas Mavericks,Philadelphia 76ers,1,0
Dallas Mavericks,Phoenix Suns,0,1
Dallas Mavericks,Toronto Raptors,1,0
Denver Nuggets,Atlanta Hawks,1,0
Denver Nuggets,Boston Celtics,1,0
Denver Nuggets,Brooklyn Nets,1,1
Denver Nuggets,Chicago Bulls,0,1
Denver Nuggets,Cleveland Cavaliers,0,1
Denver Nuggets,Dallas Mavericks,0,1
Denver Nuggets,Golden State Warriors,0,1
Denver Nuggets,Houston Rockets,1,0
Denver Nuggets,Los Angeles Lakers,1,0
Denver Nuggets,Miami Heat,1,0
Denver Nuggets,Milwaukee Bucks,0,1
Denver Nuggets,New York Knicks,1,0
Denver Nuggets,Philadelphia 76ers,1,0
Denver Nuggets,Phoenix Suns,0,1
Denver Nuggets,Toronto Raptors,0,1
Golden State Warriors,Atlanta Hawks,0,1
Golden State Warriors,Boston Celtics,1,1
Golden State Warriors,Brooklyn Nets,0,1
Golden State Warriors,Chicago Bulls,0,1
Golden State Warriors,Cleveland Cavaliers,1,0
Golden State Warriors,Dallas Mavericks,0,1
Golden State Warriors,Denver Nuggets,1,0
Golden State Warriors,Houston Rockets,1,0
Golden State Warriors,Los Angeles Lakers,0,1
Golden State Warriors,Miami Heat,0,1
Golden State Warriors,Milwaukee Bucks,1,0
Golden State Warriors,New York Knicks,1,0
Golden State Warriors,Philadelphia 76ers,1,0
Golden State Warriors,Phoenix Suns,0,1
Golden State Warriors,Toronto Raptors,0,1
Houston Rockets,Atlanta Hawks,1,0
Houston Rockets,Boston Celtics,1,0
Houston Rockets,Brooklyn Nets,1,0
Houston Rockets,Chicago Bulls,0,1
Houston Rockets,Cleveland Cavaliers,0,1
Houston Rockets,Dallas Mavericks,0,1
Houston Rockets,Denver Nuggets,0,1
Houston Rockets,Golden State Warriors,0,1
Houston Rockets,Los Angeles Lakers,1,0
Houston Rockets,Miami Heat,0,1
Houston Rockets,Milwaukee Bucks,1,0
Houston Rockets,New York Knicks,1,0
Houston Rockets,Philadelphia 76ers,1,0
Houston Rockets,Phoenix Suns,1,0
Houston Rockets,Toronto Raptors,1,1
Los Angeles Lakers,Atlanta Hawks,0,1
Los Angeles Lakers,Boston Celtics,1,0
Los Angeles Lakers,Brooklyn Nets,1,0
Los Angeles Lakers,Chicago Bulls,0,1
Los Angeles Lakers,Cleveland Cavaliers,1,0
Los Angeles Lakers,Dallas Mavericks,0,1
Los Angeles Lakers,Denver Nuggets,0,1
Los Angeles Lakers,Golden State Warriors,1,0
Los Angeles Lakers,Houston Rockets,0,1
Los Angeles Lakers,Miami Heat,0,1
Los Angeles Lakers,Milwaukee Bucks,0,1
Los Angeles Lakers,New York Knicks,1,1
Los Angeles Lakers,Philadelphia 76ers,0,1
Los Angeles Lakers,Phoenix Suns,1,0
Los Angeles Lakers,Toronto Raptors,1,0
Miami Heat,Atlanta Hawks,0,1
Miami Heat,Boston Celtics,0,1
