Date,Visitor,PTS,Home,PTS.1,Attend.,LOG,Arena,Notes
"Sat, Nov 01, 2025",Golden State Warriors,,Boston Celtics,,"19,000",7:30 PM,TD Garden,
"Sat, Nov 01, 2025",Los Angeles Lakers,,New York Knicks,,"19,400",7:30 PM,Madison Square Garden,
"Sat, Nov 01, 2025",Denver Nuggets,,Brooklyn Nets,,"17,500",7:30 PM,Barclays Center,
"Sat, Nov 01, 2025",Phoenix Suns,,Philadelphia 76ers,,"19,650",7:30 PM,Wells Fargo Center,
"Sat, Nov 01, 2025",Houston Rockets,,Toronto Raptors,,"19,600",7:30 PM,Scotiabank Arena,
"Sat, Nov 01, 2025",Dallas Mavericks,,Miami Heat,,"19,700",7:30 PM,Kaseya Center,
"Sat, Nov 01, 2025",Atlanta Hawks,,Chicago Bulls,,"20,850",7:30 PM,United Center,
"Sat, Nov 01, 2025",Cleveland Cavaliers,,Milwaukee Bucks,,"17,550",7:30 PM,Fiserv Forum,
"Mon, Nov 03, 2025",Boston Celtics,,Los Angeles Lakers,,"19,000",7:30 PM,Crypto.com Arena,
"Mon, Nov 03, 2025",Denver Nuggets,,Golden State Warriors,,"18,500",7:30 PM,Chase Center,
"Mon, Nov 03, 2025",New York Knicks,,Phoenix Suns,,"17,450",7:30 PM,Footprint Center,
"Mon, Nov 03, 2025",Brooklyn Nets,,Houston Rockets,,"17,800",7:30 PM,Toyota Center,
"Mon, Nov 03, 2025",Philadelphia 76ers,,Dallas Mavericks,,"19,800",7:30 PM,American Airlines Center,
"Mon, Nov 03, 2025",Toronto Raptors,,Atlanta Hawks,,"17,250",7:30 PM,State Farm Arena,
"Mon, Nov 03, 2025",Miami Heat,,Cleveland Cavaliers,,"19,250",7:30 PM,Rocket Mortgage FieldHouse,
"Mon, Nov 03, 2025",Milwaukee Bucks,,Chicago Bulls,,"20,850",7:30 PM,United Center,
"Wed, Nov 05, 2025",Boston Celtics,,Denver Nuggets,,"19,000",7:30 PM,Ball Arena,
"Wed, Nov 05, 2025",Phoenix Suns,,Los Angeles Lakers,,"19,000",7:30 PM,Crypto.com Arena,
"Wed, Nov 05, 2025",Houston Rockets,,Golden State Warriors,,"18,500",7:30 PM,Chase Center,
"Wed, Nov 05, 2025",Dallas Mavericks,,New York Knicks,,"19,400",7:30 PM,Madison Square Garden,
